Workload                  	Metric                   	  Count	      %	 AvgChange
435.gromacs-111B.csv      	l1d_mshr_pf_hit          	     19	   6.25	      1.37
435.gromacs-111B.csv      	l2c_mshr_pf_hit          	      1	   0.33	      1.00
435.gromacs-111B.csv      	llc_mshr_pf_hit          	      0	   0.00	      0.00
435.gromacs-111B.csv      	l1d_useless_prefetch     	    151	  49.67	     30.65
435.gromacs-111B.csv      	l2c_useless_prefetch     	     10	   3.29	      1.60
435.gromacs-111B.csv      	llc_useless_prefetch     	      0	   0.00	      0.00
435.gromacs-111B.csv      	l1d_useful_prefetch_hit  	     57	  18.75	      5.05
435.gromacs-111B.csv      	l2c_useful_prefetch_hit  	     26	   8.55	      6.23
435.gromacs-111B.csv      	llc_useful_prefetch_hit  	     87	  28.62	      7.37
435.gromacs-134B.csv      	l1d_mshr_pf_hit          	    138	  16.31	      3.24
435.gromacs-134B.csv      	l2c_mshr_pf_hit          	     31	   3.66	      2.87
435.gromacs-134B.csv      	llc_mshr_pf_hit          	      8	   0.95	      1.38
435.gromacs-134B.csv      	l1d_useless_prefetch     	    334	  39.48	      6.72
435.gromacs-134B.csv      	l2c_useless_prefetch     	    201	  23.76	      3.15
435.gromacs-134B.csv      	llc_useless_prefetch     	    138	  16.31	      9.38
435.gromacs-134B.csv      	l1d_useful_prefetch_hit  	    139	  16.43	      4.29
435.gromacs-134B.csv      	l2c_useful_prefetch_hit  	    289	  34.16	      5.19
435.gromacs-134B.csv      	llc_useful_prefetch_hit  	    365	  43.14	     16.07
435.gromacs-226B.csv      	l1d_mshr_pf_hit          	    281	  15.73	      4.01
435.gromacs-226B.csv      	l2c_mshr_pf_hit          	     69	   3.86	      2.09
435.gromacs-226B.csv      	llc_mshr_pf_hit          	     19	   1.06	      1.89
435.gromacs-226B.csv      	l1d_useless_prefetch     	    560	  31.35	     12.52
435.gromacs-226B.csv      	l2c_useless_prefetch     	    492	  27.55	      3.27
435.gromacs-226B.csv      	llc_useless_prefetch     	    224	  12.54	      5.14
435.gromacs-226B.csv      	l1d_useful_prefetch_hit  	    247	  13.83	      3.49
435.gromacs-226B.csv      	l2c_useful_prefetch_hit  	    650	  36.39	     10.64
435.gromacs-226B.csv      	llc_useful_prefetch_hit  	    643	  36.00	     15.28
435.gromacs-228B.csv      	l1d_mshr_pf_hit          	    334	  22.13	      3.94
435.gromacs-228B.csv      	l2c_mshr_pf_hit          	    119	   7.89	      2.64
435.gromacs-228B.csv      	llc_mshr_pf_hit          	     20	   1.33	      1.80
435.gromacs-228B.csv      	l1d_useless_prefetch     	    564	  37.38	      5.38
435.gromacs-228B.csv      	l2c_useless_prefetch     	    570	  37.77	      4.46
435.gromacs-228B.csv      	llc_useless_prefetch     	    205	  13.59	      4.40
435.gromacs-228B.csv      	l1d_useful_prefetch_hit  	    251	  16.63	      3.71
435.gromacs-228B.csv      	l2c_useful_prefetch_hit  	    631	  41.82	      9.66
435.gromacs-228B.csv      	llc_useful_prefetch_hit  	    701	  46.45	     19.22
436.cactusADM-1804B.csv   	l1d_mshr_pf_hit          	    330	   6.09	      1.27
436.cactusADM-1804B.csv   	l2c_mshr_pf_hit          	     16	   0.30	      1.00
436.cactusADM-1804B.csv   	llc_mshr_pf_hit          	      9	   0.17	      1.11
436.cactusADM-1804B.csv   	l1d_useless_prefetch     	   1980	  36.52	      2.46
436.cactusADM-1804B.csv   	l2c_useless_prefetch     	    666	  12.28	      1.46
436.cactusADM-1804B.csv   	llc_useless_prefetch     	    462	   8.52	      7.32
436.cactusADM-1804B.csv   	l1d_useful_prefetch_hit  	   1079	  19.90	      2.23
436.cactusADM-1804B.csv   	l2c_useful_prefetch_hit  	   2061	  38.01	      6.11
436.cactusADM-1804B.csv   	llc_useful_prefetch_hit  	   2009	  37.05	     21.40
437.leslie3d-134B.csv     	l1d_mshr_pf_hit          	   1822	  26.00	      2.37
437.leslie3d-134B.csv     	l2c_mshr_pf_hit          	    112	   1.60	      1.00
437.leslie3d-134B.csv     	llc_mshr_pf_hit          	      5	   0.07	      1.00
437.leslie3d-134B.csv     	l1d_useless_prefetch     	   3465	  49.44	      3.21
437.leslie3d-134B.csv     	l2c_useless_prefetch     	   2857	  40.76	      2.64
437.leslie3d-134B.csv     	llc_useless_prefetch     	   1296	  18.49	      4.20
437.leslie3d-134B.csv     	l1d_useful_prefetch_hit  	   2516	  35.90	      2.64
437.leslie3d-134B.csv     	l2c_useful_prefetch_hit  	   4125	  58.85	      8.41
437.leslie3d-134B.csv     	llc_useful_prefetch_hit  	   3131	  44.67	      9.27
437.leslie3d-149B.csv     	l1d_mshr_pf_hit          	   4194	  32.07	      3.68
437.leslie3d-149B.csv     	l2c_mshr_pf_hit          	    528	   4.04	      1.02
437.leslie3d-149B.csv     	llc_mshr_pf_hit          	    633	   4.84	      1.09
437.leslie3d-149B.csv     	l1d_useless_prefetch     	   6189	  47.32	      1.91
437.leslie3d-149B.csv     	l2c_useless_prefetch     	   5612	  42.91	      7.66
437.leslie3d-149B.csv     	llc_useless_prefetch     	   3668	  28.04	      8.21
437.leslie3d-149B.csv     	l1d_useful_prefetch_hit  	   4943	  37.79	      3.31
437.leslie3d-149B.csv     	l2c_useful_prefetch_hit  	   7929	  60.62	      5.99
437.leslie3d-149B.csv     	llc_useful_prefetch_hit  	   4869	  37.23	     12.05
437.leslie3d-232B.csv     	l1d_mshr_pf_hit          	   3099	  39.37	      2.46
437.leslie3d-232B.csv     	l2c_mshr_pf_hit          	    218	   2.77	      1.03
437.leslie3d-232B.csv     	llc_mshr_pf_hit          	     22	   0.28	      1.00
437.leslie3d-232B.csv     	l1d_useless_prefetch     	   2128	  27.04	      2.87
437.leslie3d-232B.csv     	l2c_useless_prefetch     	   2299	  29.21	      2.27
437.leslie3d-232B.csv     	llc_useless_prefetch     	   1753	  22.27	      7.04
437.leslie3d-232B.csv     	l1d_useful_prefetch_hit  	   2659	  33.78	      2.83
437.leslie3d-232B.csv     	l2c_useful_prefetch_hit  	   3929	  49.92	      9.01
437.leslie3d-232B.csv     	llc_useful_prefetch_hit  	   3125	  39.70	     19.52
437.leslie3d-265B.csv     	l1d_mshr_pf_hit          	   1665	  23.54	      2.19
437.leslie3d-265B.csv     	l2c_mshr_pf_hit          	     70	   0.99	      1.00
437.leslie3d-265B.csv     	llc_mshr_pf_hit          	      2	   0.03	      1.00
437.leslie3d-265B.csv     	l1d_useless_prefetch     	   2802	  39.62	      2.28
437.leslie3d-265B.csv     	l2c_useless_prefetch     	    997	  14.10	      1.56
437.leslie3d-265B.csv     	llc_useless_prefetch     	   1323	  18.71	      6.73
437.leslie3d-265B.csv     	l1d_useful_prefetch_hit  	   1764	  24.94	      2.55
437.leslie3d-265B.csv     	l2c_useful_prefetch_hit  	   3110	  43.98	      5.83
437.leslie3d-265B.csv     	llc_useful_prefetch_hit  	   2206	  31.19	     19.92
437.leslie3d-271B.csv     	l1d_mshr_pf_hit          	   2572	  27.18	      2.34
437.leslie3d-271B.csv     	l2c_mshr_pf_hit          	     50	   0.53	      1.04
437.leslie3d-271B.csv     	llc_mshr_pf_hit          	     20	   0.21	      1.00
